index,comments,score
21,连个冲电器都没有，也不说清楚，没有必要买,1
21,苹果还送一条数据线，华为是啥都没有，我们支持华为，华为拿我们当猴耍，心里凉飕飕滴,1
21,手机不好，触屏经常失灵，,1
21,京东购买第一次这么差的感觉，买了个没充电器的手机回来，那等于是空壳,1
21,打电话过程中声音突然变小，导航过程中声音也是突然变小。效果不好。,1
21,指纹解锁根本没用，录进去解不开，反复开机反复录也没用,1
21,搞活动说好的送充电器，手机收到两天了，还没发充电器的货。。。现在还没备妥赠品。,1
21,我想知道一个新手机为什么会出现这样的屏？,1
21,居然连充电线都没有，光秃秃的手机就寄过来。,1
22,买手机连充电器都没有，这是什么意思？,1
22,有一点小问题，充电有点接触不良，现在错过了退货期，也错过了换货期，很纠结很郁闷,1
22,无充电器和耳机，全部要自己再重新买！感受差一点！,1
22,手机没有充电器，没有耳机，买多大时候也不告知，支持国货，但是国货不是这样干的,1
22,微信视频已经有两次黑屏了，一次全屏没反应很长时间，感觉信号也不大好。感觉不是正品,1
22,快递延期一天 不送货到家 反复催了好几次 打了很多个电话 才在当天晚上八点配送到,1
22,建议大家不要买这款手机，我个人觉得真不行，买了感觉有点上当，有想买的要考虑一下。,1
22,商品很好，但是将充电器单独卖的行为十分不爽，学老美的销售真是一学一个准?,1
22,劝大家不要买，手机买过来没几天，充电充不上，这钱全浪费了,1
22,电都充不进去  还以为是充电器坏了  买了3个充电器  哎,1
23,手机还没 用到一个月出现接视频黑屏无法开机五六次，送去华为售后点检测发现主板有问题，,1
23,说24小时内送达，结果两天才到。着急用手机，想去线下直接买，结果退也退不了，联系物流也联系不上。,1
23,买手机没有充电器！拿到手机还得另外买充电器！什么操作,1
23,外形外观：不错，就是手机刚拿一会，手机就发热。居然没有充电器,1
23,要换颜色，从年前催到年后就是没人过来取件，问客服都是马上安排人过来，就是没见人,1
23,手机不错，电池也耐用。就是降价挺快的，这才几天啊，感觉下手早了。,1
23,刚买完没几天就降价，手机还不错，但这个套路也太深了吧，很不爽,1
23,有时候反回的时候一键退出了，系统有时候闪退，我看评价挺好的才买的难道我买的是假货,1
23,新手机，广告推送多到连电话都接不了，怎么设置都解决不了,1
23,手机挺好的，但是充电器出问题了，不小心点了退货，钱交了，充电器没有，问客服客服也说不清楚，半天处理不好,1
24,前两天收到的货，本来显示当天到货，后来在看是跨区调货。一直信赖京东的品质，没检查就给老妈用了，结果发过来的手机是换过电池的，是再给老妈安装东西的时候看了一下才发现，已经申请售后退货了。,1
24,这个爱国税交的值！！,1
24,点个赞，不说无线，有线的充电器都省了\n包装盒压瘪了，快递放自提柜电话也不打一个,1
24,这个屏幕指纹识别十次九不灵，看来华为手机已经不是以前的华为手机了,1
24,第一次买手机不送充电器，难道手机都不充电了吗？,1
24,充电器还需要200，这总的价格&hellip;&hellip; \n性比价不高了。,1
24,其他什么还可以，\n一个是没充电器\n另一个就是用电用的特别快，还是新手机，\n用电的速度都快赶上我用了三年的荣耀10的速度了,1
24,在店里买 刚买的新机 就发热 而且需要自己去别的地方去维修 不如店面剩心 别在网络上买可能都是翻新机,1
24,我能说华为手机不好吗？耗电快，系统操作反应慢，价格还不便宜等等。总之能不用就不用吧！敬而远之???????????????,1
24,本来挺看好京东的，就京东买了手机，满心欢喜的领了快递，包装袋破了个大洞不说，手机盒也变形，已申请退货。去华为实体店买了手机，还比京东旗舰店优惠了100元。,1
25,充电器都不带。。。。,1
25,不能确定是不是新机，用了不到一个月，各个软件应用一直提示无响应，等待或关闭，只能恢复出厂设置。,1
